state_link,total_link_count,total_count,percent_total
tx->tx,36778,602947,0.060997069
fl->fl,25903,602947,0.042960658
ca->ca,18745,602947,0.031088968
az->az,17539,602947,0.029088792
oh->oh,16305,602947,0.027042178
ia->ia,16171,602947,0.026819936
nv->nv,15852,602947,0.026290868
mi->mi,14552,602947,0.024134791
ga->ga,12338,602947,0.020462827
va->va,11993,602947,0.019890637
mn->mn,11869,602947,0.019684981
il->il,11791,602947,0.019555616
ny->ny,11772,602947,0.019524104
ca->wa,10549,602947,0.017495733
wa->wa,10057,602947,0.016679741
wi->wi,9693,602947,0.01607604
mo->mo,9379,602947,0.015555264
co->co,8737,602947,0.014490494
al->al,8429,602947,0.01397967
tn->tn,7989,602947,0.013249921
tx->wa,7771,602947,0.012888363
pa->pa,7694,602947,0.012760657
in->in,6902,602947,0.011447109
nj->nj,6603,602947,0.010951211
md->md,6531,602947,0.010831798
or->or,6435,602947,0.01067258
ny->wa,5925,602947,0.009826734
ar->ar,5790,602947,0.009602834
nm->nm,5613,602947,0.009309276
ak->ak,5424,602947,0.008995816
ky->ky,5243,602947,0.008695623
la->la,5119,602947,0.008489967
ne->ne,5040,602947,0.008358944
ut->ut,5036,602947,0.00835231
me->me,4984,602947,0.008266067
ms->ms,4930,602947,0.008176506
fl->wa,4875,602947,0.008085288
ks->ks,4799,602947,0.00795924
wv->va,4789,602947,0.007942655
il->wa,4563,602947,0.007567829
mo->wa,4477,602947,0.007425197
mt->mt,4103,602947,0.00680491
ok->ok,3953,602947,0.006556132
id->id,3935,602947,0.006526278
nc->nc,3918,602947,0.006498084
ma->ma,3735,602947,0.006194574
va->wa,3493,602947,0.005793212
de->de,3289,602947,0.005454874
nj->wa,3127,602947,0.005186194
pa->wa,3030,602947,0.005025317
ct->ct,3002,602947,0.004978879
ma->wa,2898,602947,0.004806393
hi->hi,2872,602947,0.004763271
nh->nh,2846,602947,0.00472015
az->wa,2781,602947,0.004612346
nd->nd,2640,602947,0.004378494
mn->wa,2504,602947,0.004152935
md->wa,2212,602947,0.003668647
vt->vt,2168,602947,0.003595673
sc->sc,2095,602947,0.003474601
wi->wa,1989,602947,0.003298797
oh->wa,1970,602947,0.003267286
tn->wa,1955,602947,0.003242408
wy->wy,1906,602947,0.00316114
ri->ri,1835,602947,0.003043385
nc->wa,1798,602947,0.00298202
ri->wa,1721,602947,0.002854314
ca->tx,1692,602947,0.002806217
sd->sd,1590,602947,0.002637048
ct->wa,1585,602947,0.002628755
mi->wa,1554,602947,0.002577341
ga->wa,1506,602947,0.002497732
mo->ks,1451,602947,0.002406513
in->wa,1332,602947,0.002209149
co->wa,1250,602947,0.002073151
or->wa,1163,602947,0.001928859
ky->wa,1106,602947,0.001834324
tx->ca,1027,602947,0.001703301
ny->tx,1009,602947,0.001673447
sc->wa,984,602947,0.001631984
mo->tx,962,602947,0.001595497
nm->wa,939,602947,0.001557351
nh->wa,924,602947,0.001532473
mo->ca,911,602947,0.001510912
ca->ga,904,602947,0.001499303
al->wa,904,602947,0.001499303
tx->ny,856,602947,0.001419694
mo->fl,813,602947,0.001348377
ca->fl,806,602947,0.001336768
ar->wa,793,602947,0.001315207
ia->wa,789,602947,0.001308573
ca->ia,783,602947,0.001298622
tx->ia,748,602947,0.001240573
vt->wa,739,602947,0.001225647
mo->ny,739,602947,0.001225647
nv->wa,711,602947,0.001179208
la->wa,709,602947,0.001175891
hi->wa,706,602947,0.001170916
nc->va,631,602947,0.001046526
ca->ny,614,602947,0.001018332
